CLONE	CBSD3S	CBSD3S.ebv	CBSD3S.wt	CBSD6S	CBSD6S.ebv	CBSD6S.wt	CBSDRS	CBSDRS.ebv	CBSDRS.wt
UG14_1956	0.557193885	0.474882882	9.38614944	0.575061143	0.518614632	9.327324712	0.381665818	0.125538571	0.964454774
UG14_1957	0.254142282	0.211617062	8.524593191	-0.815730571	-0.672065569	6.208210037	-0.84239939	-0.277303521	0.965538937
UG14_1961	0.128617722	0.116662317	12.67050399	-0.162238307	-0.150280983	10.84794757	0.793005675	0.261025692	0.965442966
UG14_1964	0.087009931	0.072594948	8.592727472	-0.64379462	-0.539626552	6.647369465	0.239810167	0.118707418	1.842699844
UG14_1966	-0.277163115	-0.242857098	10.63378251	0.089066613	0.079681293	8.944237878	0.060128254	0.019789757	0.965300534
UG14_1967	-0.122433918	-0.107627254	10.7987918	0.699050802	0.623287017	8.792063066	-0.452373124	-0.224005074	1.84385424
UG14_1968	0.252220372	0.225112704	11.63927176	0.971470166	0.891407107	10.262161	-0.328561084	-0.162467602	1.839187692
UG14_1969	-0.183073111	-0.152546386	8.548432119	-0.46306292	-0.398841461	7.462750984	-0.789018071	-0.390589076	1.842874905
UG14_1970	-0.062967941	-0.055925723	11.35577602	0.329877105	0.292013343	8.481621906	0.759146175	0.375792255	1.842792819
UG14_1971	-0.259372375	-0.234432184	12.43065589	0.132073031	0.122668543	11.02605524	1.271438057	0.418343134	0.964907675
UG14_1973	-0.204405676	-0.168461224	8.18685003	0.210031228	0.169809041	5.782479192	-1.092977688	-0.650581509	2.646345627
UG14_1975	-0.346454995	-0.305915803	11.0336107	-0.688751611	-0.632086553	10.27129861	-1.012979694	-0.603122384	2.647846229
UG14_1978	-0.231564569	-0.161792966	4.82928104	1.459825396	1.055780067	4.035495958	0.256333048	0.084389678	0.965688652
UG14_1981	-0.292202353	-0.232680476	7.210339749	-0.323924182	-0.267515581	6.266232988	1.375900098	0.681089866	1.842755325
UG14_1987	0.140371222	0.126928448	12.45946672	0.415551824	0.383833599	10.66566439	0.396966746	0.196525609	1.843118916
UG14_1988	0.30470413	0.25708534	8.994659903	-0.570511732	-0.485963414	7.1097215	-0.612824396	-0.201726639	0.96550692
UG14_1989	-0.283185521	-0.240966348	9.322075159	0.566841517	0.497799073	8.160724317	-0.026567553	-0.013136946	1.839128373
UG14_1991	0.231272702	0.182831529	7.029754673	0.830005046	0.721005459	7.755191861	0.541841935	0.178206833	0.964321741
UG14_1994	0.533824118	0.461267794	9.970972318	0.793960146	0.674577876	7.032906882	0.637206625	0.315426498	1.842758197
UG14_1995	-0.343893179	-0.250847399	5.447795022	-0.535158152	-0.473057598	8.422565575	-0.345295586	-0.170879051	1.841839519
UG14_1998	-0.258211141	-0.226842149	10.76652522	-0.634197549	-0.577442009	9.823734958	-0.185832648	-0.110637575	2.64753
UG14_1999	0.23322257	0.196793165	8.998143228	-0.161263703	-0.132875572	6.210622472	0.260157248	0.128791433	1.843011926
UG14_2000	0.132613174	0.114925106	10.10402212	-0.397442741	-0.349240858	8.18391465	-0.555376342	-0.275070483	1.844586286
UG14_2001	0.703889028	0.605094536	9.744733607	0.699873188	0.631227651	9.331421932	1.65936255	0.821702188	1.843946901
UG14_2003	-0.410196397	-0.341352705	8.504095116	-0.575538114	-0.500406633	7.787321953	-0.359746916	-0.178206177	1.845115627
UG14_2005	-0.155763128	-0.139596338	11.88775139	0.376555077	0.340552373	9.468895081	0.104054355	0.051509481	1.842827267
UG14_2009	-0.214906346	-0.176625475	8.099861874	-0.648898321	-0.471615847	4.093106462	-0.000155485	-7.70E-05	1.844779163
UG14_2013	0.561734912	0.304712739	2.719167325	-0.92607301	-0.32353657	0.992653296	3.247272834	1.066888387	0.962898961
UG14_2016	-0.327001269	-0.287318668	10.77430247	-0.416416935	-0.365913564	8.183883008	1.151047923	0.56956707	1.841485295
UG14_2022	0.53788993	0.481999367	11.87978679	0.833705887	0.766937487	10.41346834	-0.329072474	-0.108228913	0.964321741
UG14_2023	-0.252170022	-0.216564609	9.70275819	-0.372885875	-0.332488138	8.794203418	0.508795805	0.302848489	2.64623368
UG14_2024	0.153049317	0.140481003	13.54070628	-0.010902988	-0.010154113	11.21103681	0.622230291	0.204830358	0.965557366
UG14_2025	0.01137572	0.010061658	11.12530926	-0.17858091	-0.160249454	9.085768473	-0.315809218	-0.156319185	1.842525502
UG14_2026	0.434320119	0.383803956	11.07637807	0.999578429	0.909979054	9.815059893	1.80510348	0.894012017	1.844468569
UG14_2028	-0.25114668	-0.219319445	10.46641096	0.589391139	0.521828325	8.488690157	-0.991698679	-0.590365365	2.647011385
UG14_2031	0.000863817	0.000783608	12.67805965	0.603805977	0.554380045	10.298031	-1.888156272	-0.934588965	1.842489024
UG14_2035	0.000658039	0.000597849	12.78420653	0.342986637	0.318981932	11.11487344	0.07075666	0.035046796	1.84477321
UG14_2041	-0.306770591	-0.26113381	9.33713186	0.652617044	0.567809543	7.811736884	0.785922988	0.389051335	1.842827267
UG14_2045	0.062490394	0.056284375	12.20148804	-0.097682201	-0.089956454	10.47930862	-0.448633426	-0.222115883	1.843294699
UG14_2050	-0.266904545	-0.225044579	8.970072189	0.088995378	0.078216127	8.190981809	0.719484009	0.356171401	1.842911301
UG14_2053	-0.056763764	-0.050057672	10.96523788	0.790848011	0.707635548	8.952190665	-1.340908439	-0.797950832	2.644857826
UG14_2055	0.268614034	0.232789415	10.10468684	1.618499847	1.409881085	7.855526363	-1.010261138	-0.50022008	1.843597029
UG14_2056	0.400398077	0.355315769	11.30779429	0.853346395	0.779247921	9.984776724	1.602954405	0.7935075	1.842849831
UG14_2064	0.029761714	0.025087839	8.960892296	-0.235415791	-0.197665327	6.694329116	-0.739471897	-0.366312121	1.845145831
UG14_2065	-0.312428467	-0.263308752	8.95315143	-0.558323986	-0.485586886	7.798193243	-0.044464724	-0.014636013	0.965443633
UG14_2068	-0.204062713	-0.180522632	11.13503344	-0.30719581	-0.282093536	10.30727722	0.593234093	0.293731334	1.843571771
UG14_2071	-0.259491849	-0.215852745	8.490258242	0.358033591	0.29982761	6.622641383	0.668336143	0.330991222	1.844317436
UG14_2075	-0.197984972	-0.170271586	9.76369452	-0.333872257	-0.279296977	6.594150368	-1.113400513	-0.551370124	1.844089788
UG14_2076	-0.345428005	-0.301666286	10.46861065	1.242802123	1.069529489	7.434602397	-1.851758459	-0.60929652	0.964929523
UG14_2079	0.235504378	0.193705265	8.124165717	0.111931186	0.093997785	6.698849867	-0.962507931	-0.572897621	2.646113124
UG14_2080	-0.219099415	-0.197303309	12.18941815	-0.337000991	-0.309290384	10.27419604	-0.124740048	-0.074269762	2.647864889
UG14_2082	-0.270300836	-0.230279299	9.370154561	-0.443920179	-0.349033215	5.238384034	-0.652159564	-0.388212927	2.646683032
UG14_2083	-0.223979693	-0.199926267	11.64490997	-0.537813737	-0.491743248	10.05703205	0.837406667	0.275663705	0.965557366
UG14_2085	0.017674914	0.013708438	6.589280646	-0.298514638	-0.216352077	4.060184946	0.939681632	0.465305427	1.843826048
UG14_2087	-0.280027406	-0.238226554	9.313308795	-0.445951781	-0.39133054	8.130651251	-1.039321727	-0.514582883	1.843427473
UG14_2088	-0.211213027	-0.160240265	6.13607905	-0.454344006	-0.345420913	4.690021905	-0.791872385	-0.392119592	1.843871727
UG14_2089	0.5267126	0.455399042	9.998245654	0.196453581	0.174759912	8.69090034	-0.197177292	-0.064900519	0.965393419
UG14_2091	0.197445777	0.169809432	9.764093156	0.225396304	0.196243754	7.837078301	0.451228173	0.268620185	2.64702846
UG14_2092	0.361724907	0.264808957	5.505564826	-0.201447595	-0.152780495	4.654071727	0.278281845	0.137820057	1.844363576
UG14_2094	-0.127065387	-0.110075196	10.08649359	0.136785866	0.116380405	7.074775476	2.123219317	1.05105821	1.842865487
UG14_2095	-0.303816462	-0.277380999	13.13598312	0.030560163	0.028522056	11.36100976	-0.666261975	-0.21920025	0.964776938
UG14_2097	0.343297623	0.29919218	10.36924371	0.320532409	0.297038896	10.87666259	1.335035274	0.794843876	2.647641123
UG14_2098	0.060363024	0.048804473	7.616536633	-0.088028091	-0.074771348	7.024694408	-0.372067861	-0.221444931	2.645731087
UG14_2101	-0.252237552	-0.196299245	6.664270906	0.069935879	0.059606355	7.127545065	-0.32608873	-0.161480924	1.844040938
UG14_2103	-0.072006658	-0.060690281	8.955866265	-0.089204165	-0.077608118	7.809892232	0.874827635	0.52082346	2.647364711
UG14_2104	0.192287485	0.159982514	8.497079586	0.168606124	0.145107351	7.436523205	0.918352927	0.454755579	1.84391061
UG14_2107	-0.09185574	-0.082032068	11.67444876	1.071219658	0.961729805	9.108985833	NA	NA	NA
UG14_2111	-0.136382747	-0.122936455	12.25311362	0.816934084	0.750145834	10.30465744	0.512287371	0.305014627	2.64787656
UG14_2115	0.082062228	0.070490287	9.711811475	-0.250377264	-0.230513649	10.46310291	-0.368816561	-0.219563872	2.647133883
UG14_2119	0.16071833	0.1320524	8.091042318	-0.23160721	-0.199318783	7.435010464	-0.337638594	-0.167141155	1.842860933
UG14_2123	0.112370744	0.096679373	9.780694398	0.060116094	0.053603228	8.794200007	-0.306747718	-0.151897632	1.843920122
UG14_2124	0.525837368	0.408236376	6.610925605	0.694310312	0.559693602	5.720473156	NA	NA	NA
